id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
SE;SUDESTE/CENTRO-OESTE;2026-01-03 21:00:00;49084.113000000005
N;NORTE;2026-01-03 22:00:00;8580.919000000002
NE;NORDESTE;2026-01-03 22:00:00;15180.478
S;SUL;2026-01-03 22:00:00;12893.825
SE;SUDESTE/CENTRO-OESTE;2026-01-03 22:00:00;47568.864
N;NORTE;2026-01-03 23:00:00;8634.573999999999
NE;NORDESTE;2026-01-03 23:00:00;15217.409
S;SUL;2026-01-03 23:00:00;12154.405999999995
SE;SUDESTE/CENTRO-OESTE;2026-01-03 23:00:00;45886.66299999999
N;NORTE;2026-01-04 00:00:00;8557.298999999999
NE;NORDESTE;2026-01-04 00:00:00;14902.377
S;SUL;2026-01-04 00:00:00;11381.841999999995
SE;SUDESTE/CENTRO-OESTE;2026-01-04 00:00:00;43945.685
N;NORTE;2026-01-04 01:00:00;8415.258999999998
NE;NORDESTE;2026-01-04 01:00:00;14600.089999999998
S;SUL;2026-01-04 01:00:00;10733.275
SE;SUDESTE/CENTRO-OESTE;2026-01-04 01:00:00;42035.932
N;NORTE;2026-01-04 02:00:00;8243.862000000001
NE;NORDESTE;2026-01-04 02:00:00;14256.922
S;SUL;2026-01-04 02:00:00;10290.196999999996
SE;SUDESTE/CENTRO-OESTE;2026-01-04 02:00:00;40601.185
N;NORTE;2026-01-04 03:00:00;8064.579
NE;NORDESTE;2026-01-04 03:00:00;13934.12
S;SUL;2026-01-04 03:00:00;9934.531999999996
SE;SUDESTE/CENTRO-OESTE;2026-01-04 03:00:00;39581.25699999998
N;NORTE;2026-01-04 04:00:00;7916.875999999998
NE;NORDESTE;2026-01-04 04:00:00;13532.582000000002
S;SUL;2026-01-04 04:00:00;9690.268999999997
SE;SUDESTE/CENTRO-OESTE;2026-01-04 04:00:00;38880.58999999998
N;NORTE;2026-01-04 05:00:00;7801.461999999999
NE;NORDESTE;2026-01-04 05:00:00;12673.013
S;SUL;2026-01-04 05:00:00;9333.88
SE;SUDESTE/CENTRO-OESTE;2026-01-04 05:00:00;37976.562000000005
N;NORTE;2026-01-04 06:00:00;7499.986999999999
NE;NORDESTE;2026-01-04 06:00:00;11789.277
S;SUL;2026-01-04 06:00:00;9430.311000000002
SE;SUDESTE/CENTRO-OESTE;2026-01-04 06:00:00;37454.013
N;NORTE;2026-01-04 07:00:00;7432.683000000001
NE;NORDESTE;2026-01-04 07:00:00;10997.639
S;SUL;2026-01-04 07:00:00;9418.650000000003
SE;SUDESTE/CENTRO-OESTE;2026-01-04 07:00:00;37199.151
N;NORTE;2026-01-04 08:00:00;7281.565
NE;NORDESTE;2026-01-04 08:00:00;10726.418
S;SUL;2026-01-04 08:00:00;9215.56
SE;SUDESTE/CENTRO-OESTE;2026-01-04 08:00:00;36986.063
N;NORTE;2026-01-04 09:00:00;7236.157999999999
NE;NORDESTE;2026-01-04 09:00:00;10574.292
S;SUL;2026-01-04 09:00:00;9137.307
